0 7:0-1-2-3-4-5-6-7,0-23-34-45-56-67-78-89-7,0-23-12-35-46-56-67-78-89-7
0 8:0-1-2-3-4-5-6-7-8,0-23-34-45-56-57-68-79-90-8,0-23-34-45-56-67-68-79-90-8
0 9:0-1-2-3-4-5-6-7-8-9,0-23-34-45-56-57-68-79-80-91-9,0-23-34-45-56-57-68-79-90-91-9
0 10:0-1-2-3-4-5-6-7-8-9-10,0-23-34-45-56-57-68-79-80-91-92-10,0-23-34-45-56-57-68-79-80-91-9-10
0 11:0-1-2-3-4-5-6-7-8-9-10-11,0-1-2-3-4-15-26-37-48-71-82-93-11,0-1-2-3-14-15-26-37-48-71-82-93-11
0 14:0-1-2-3-14,0-1-2-13-14,0-23-12-13-14
0 15:0-1-2-3-4-15,0-1-2-3-14-15,0-1-2-13-14-15
0 16:0-1-2-3-4-15-16,0-1-2-3-14-15-16,0-1-2-13-14-15-16
0 17:0-1-2-3-4-5-6-17,0-1-2-3-4-15-16-17,0-1-2-3-14-15-16-17
0 18:0-1-2-3-4-5-6-17-18,0-1-2-3-4-15-16-17-18,0-1-2-3-14-15-16-17-18
0 19:0-1-2-3-4-5-6-7-8-19,0-1-2-3-4-5-6-17-18-19,0-1-2-3-4-15-16-17-18-19
0 20:0-1-2-3-4-5-6-7-8-9-20,0-1-2-3-4-5-6-7-8-19-20,0-1-2-3-4-5-6-17-18-19-20
0 21:0-1-2-3-4-5-6-7-8-9-10-21,0-1-2-3-4-5-6-7-8-9-20-21,0-1-2-3-4-5-6-7-8-19-20-21
0 22:0-1-2-3-4-5-6-7-8-9-10-21-22,0-1-2-3-4-5-6-7-8-9-20-21-22,0-1-2-3-4-5-6-7-8-19-20-21-22
0 25:0-1-2-3-14-25,0-1-2-13-14-25,0-23-12-13-14-25
0 26:0-1-2-3-4-15-26,0-1-2-3-14-15-26,0-1-2-3-14-25-26
0 27:0-1-2-3-4-15-16-27,0-1-2-3-4-15-26-27,0-1-2-3-14-15-16-27
